"system","user","cores","threads","setthreads","size","actual_mult","actual_solve","maxDiff"
"65","Darwin","AW","2","4","2","1024","0.663999999999994","1.163","6.48157083560363e-11"
"66","Darwin","AW","2","4","2","1024","0.662999999999997","1.16","6.48157083560363e-11"
"67","Darwin","AW","2","4","2","1024","0.667000000000002","1.193","6.48157083560363e-11"
"68","Darwin","AW","2","4","2","1024","0.650000000000006","1.267","6.48157083560363e-11"
"69","Darwin","AW","2","4","2","1024","0.686","1.188","6.48157083560363e-11"
"70","Darwin","AW","2","4","2","1024","0.677000000000007","1.17099999999999","6.48157083560363e-11"
"71","Darwin","AW","2","4","2","1024","0.661000000000001","1.17399999999999","6.48157083560363e-11"
"72","Darwin","AW","2","4","2","1024","0.694000000000003","1.194","6.48157083560363e-11"
"73","Darwin","AW","2","4","3","128","0.00100000000000477","0.00300000000000011","1.85309545486234e-11"
"74","Darwin","AW","2","4","3","128","0.00200000000000955","0.00300000000000011","1.85309545486234e-11"
"75","Darwin","AW","2","4","3","128","0.000999999999990564","0.00400000000000489","1.85309545486234e-11"
"76","Darwin","AW","2","4","3","128","0.000999999999990564","0.00300000000000011","1.85309545486234e-11"
"77","Darwin","AW","2","4","3","128","0.00200000000000955","0.00300000000000011","1.85309545486234e-11"
"78","Darwin","AW","2","4","3","128","0.00199999999999534","0.00300000000000011","1.85309545486234e-11"
"79","Darwin","AW","2","4","3","128","0.00199999999999534","0.00300000000000011","1.85309545486234e-11"
"80","Darwin","AW","2","4","3","128","0.00100000000000477","0.00399999999999068","1.85309545486234e-11"
"81","Darwin","AW","2","4","3","128","0.00100000000000477","0.00300000000000011","1.85309545486234e-11"
"82","Darwin","AW","2","4","3","256","0.0110000000000099","0.0219999999999914","2.64321897702757e-12"
"83","Darwin","AW","2","4","3","256","0.0110000000000099","0.0219999999999914","2.64321897702757e-12"
"84","Darwin","AW","2","4","3","256","0.0120000000000005","0.0229999999999961","2.64321897702757e-12"
"85","Darwin","AW","2","4","3","256","0.0109999999999957","0.0240000000000009","2.64321897702757e-12"
"86","Darwin","AW","2","4","3","256","0.0109999999999957","0.0219999999999914","2.64321897702757e-12"
"87","Darwin","AW","2","4","3","256","0.0110000000000099","0.0220000000000056","2.64321897702757e-12"
"88","Darwin","AW","2","4","3","256","0.0109999999999957","0.0210000000000008","2.64321897702757e-12"
"89","Darwin","AW","2","4","3","256","0.0110000000000099","0.0210000000000008","2.64321897702757e-12"
"90","Darwin","AW","2","4","3","256","0.0109999999999957","0.0219999999999914","2.64321897702757e-12"
"91","Darwin","AW","2","4","3","512","0.0649999999999977","0.140000000000001","1.60444102448309e-10"
"92","Darwin","AW","2","4","3","512","0.063999999999993","0.126000000000005","1.60444102448309e-10"
"93","Darwin","AW","2","4","3","512","0.0660000000000025","0.125","1.60444102448309e-10"
"94","Darwin","AW","2","4","3","512","0.0630000000000024","0.129000000000005","1.60444102448309e-10"
"95","Darwin","AW","2","4","3","512","0.0670000000000073","0.123000000000005","1.60444102448309e-10"
"96","Darwin","AW","2","4","3","512","0.0789999999999935","0.12700000000001","1.60444102448309e-10"
"97","Darwin","AW","2","4","3","512","0.0649999999999977","0.126000000000005","1.60444102448309e-10"
"98","Darwin","AW","2","4","3","512","0.0660000000000025","0.134","1.60444102448309e-10"
"99","Darwin","AW","2","4","3","512","0.0650000000000119","0.134","1.60444102448309e-10"
"100","Darwin","AW","2","4","3","1024","0.663000000000011","1.17699999999999","6.48157083560363e-11"
"101","Darwin","AW","2","4","3","1024","0.679000000000002","1.20399999999999","6.48157083560363e-11"
"102","Darwin","AW","2","4","3","1024","0.672999999999988","1.193","6.48157083560363e-11"
"103","Darwin","AW","2","4","3","1024","0.688000000000002","1.21299999999999","6.48157083560363e-11"
